tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,themen,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,themen,13,12
hawkish,therefrom,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,therefrom,20,19
hawkish,tirpak,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,tirpak,15,10
hawkish,unaccount,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,unaccounted,21,29
hawkish,unidentifi,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,unidentified,19,19
hawkish,usurp,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,usurper,7,14
hawkish,vow,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,vowed,6,15
hawkish,wastag,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,wastage,10,14
hawkish,wirtschaftlichen,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,wirtschaftlichen,16,16
hawkish,abet,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,abetted,14,22
hawkish,accessori,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,accessories,12,12
hawkish,al,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,als,42,25
hawkish,allegi,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,allegiance,15,11
hawkish,allus,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,allusion,6,12
hawkish,angular,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,angular,27,25
hawkish,anne,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,annees,11,17
hawkish,antimoney,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,antimoney,11,11
hawkish,artefact,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,artefact,16,24
hawkish,asynchron,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,asynchronous,18,19
hawkish,axiom,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,axioms,19,17
hawkish,bahk,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,bahk,31,31
hawkish,barrero,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,barrero,19,11
hawkish,beatric,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,beatrice,11,12
hawkish,bequest,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,bequest,13,15
hawkish,bibl,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,bible,12,11
hawkish,bimonth,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,bimonthly,11,11
hawkish,boyd,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,boyd,13,10
hawkish,breathtak,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,breathtaking,23,23
hawkish,breez,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,breeze,11,12
hawkish,brittl,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,brittle,9,11
